101.17,60.17
100.71,58.12
99.99,61.09
100.63,61.11
100.09,60.10
97.50,67.00
99.29,61.02
99.34,58.20
101.48,62.31
100.98,60.56
98.42,59.12
98.49,60.61
98.16,59.10
100.41,59.92
98.76,59.45
99.75,55.56
101.40,59.65
99.69,58.07
99.87,61.33
98.27,62.96
100.43,60.35
100.12,59.20
99.22,57.44
101.14,60.31
100.15,59.30
99.37,60.73
100.59,57.81
99.41,59.99
101.33,60.65
99.55,60.48
98.59,61.97
100.07,57.34
98.85,61.43
99.79,59.14
98.74,60.56
100.51,59.58
99.89,60.50
99.67,60.65
101.85,57.35
100.25,58.45
100.84,59.78
100.58,61.80
99.56,58.74
99.69,58.88
99.37,58.80
100.03,58.20
99.88,58.63
99.46,59.48
101.42,61.46
100.30,62.21
99.86,60.64
97.05,56.50
99.69,58.79
99.58,60.46
99.46,63.26
99.95,61.58
100.60,59.30
100.12,57.11
100.26,58.87
99.38,59.85
99.26,60.72
99.54,62.73
100.17,59.72
99.00,58.85
99.50,60.00
98.79,57.98
99.05,60.42
99.46,58.14
100.44,56.80
99.81,59.20
100.69,60.10
99.92,62.33
100.20,58.80
98.91,56.50
99.68,59.97
98.49,59.84
100.50,58.56
100.46,59.47
100.73,61.59
99.91,59.74
101.22,61.61
99.26,58.81
100.64,61.50
100.76,59.76
99.57,61.09
100.62,61.32
100.82,58.36
99.10,61.78
100.57,63.56
101.52,61.55
99.59,58.93
100.10,58.61
99.69,59.38
100.75,60.76
100.23,60.05
98.94,58.84
101.28,61.19
100.21,63.09
100.48,60.98
99.59,60.13
98.77,59.12
100.09,59.87
99.58,58.29
100.30,57.58
98.41,62.57
100.52,60.11
98.87,58.33
99.38,59.35
101.17,60.51
97.87,59.53
100.10,60.98
99.84,58.40
100.76,59.38
99.24,57.81
101.20,60.47
102.02,62.66
100.22,57.43
99.59,61.83
99.54,63.61
99.15,58.75
100.35,60.89
100.95,59.83
101.07,59.00
101.19,60.10
98.44,59.47
101.67,58.63
100.79,60.54
99.30,58.59
100.71,59.97
